city,forecast_date,clear_sky_uv_index,uv_index_issued,percent_probability_clear,percent_probability_scattered,percent_probability_broken,total_ozone_amount,serialid
"HOUSTON, TX",1/2/2000,3.37,1.64,0,0.02,0.39,288.8,1
"HOUSTON, TX",1/3/2000,3.39,1.89,0.17,0.09,0.18,288.8,2
"HOUSTON, TX",1/4/2000,3.41,2.84,0.6,0.17,0.03,288.8,3
"HOUSTON, TX",1/5/2000,3.43,2.86,0.36,0.35,0.17,288.8,4
"HOUSTON, TX",1/6/2000,3.46,2,0,0.25,0.29,288.8,5
"HOUSTON, TX",1/7/2000,3.48,1.24,0,0.07,0,288.8,6
"HOUSTON, TX",1/8/2000,3.5,1.21,0,0,0.07,288.8,7
"HOUSTON, TX",1/9/2000,3.52,1.74,0,0.11,0.28,288.8,8
"HOUSTON, TX",1/10/2000,3.54,2.98,0.49,0.25,0.12,288.8,9
"HOUSTON, TX",1/11/2000,3.56,2.94,0.45,0.26,0.13,288.8,10
"HOUSTON, TX",1/12/2000,3.6,2.83,0.31,0.23,0.31,288.8,11
"HOUSTON, TX",1/13/2000,3.64,2.86,0.34,0.23,0.26,288.8,12
"HOUSTON, TX",1/14/2000,3.67,2.69,0.47,0.17,0,288.8,13
"HOUSTON, TX",1/15/2000,3.71,2.63,0.33,0.23,0.09,288.8,14
"HOUSTON, TX",1/16/2000,3.74,2.74,0.06,0.31,0.48,288.8,15
"HOUSTON, TX",1/17/2000,3.78,2.49,0.09,0.21,0.39,288.8,16
"HOUSTON, TX",1/18/2000,3.81,2.79,0.17,0.25,0.38,288.8,17
"HOUSTON, TX",1/19/2000,3.85,2.86,0.22,0.24,0.34,288.8,18
"HOUSTON, TX",1/20/2000,3.89,3.37,0.58,0.21,0.09,288.8,19
"HOUSTON, TX",1/21/2000,3.92,2.72,0.19,0.28,0.21,288.8,20
"HOUSTON, TX",1/22/2000,3.97,2.61,0.1,0.21,0.37,288.8,21
"HOUSTON, TX",1/23/2000,4.02,2.62,0.13,0.16,0.38,288.8,22
"HOUSTON, TX",1/24/2000,4.07,3.86,0.81,0.12,0.04,288.8,23
"HOUSTON, TX",1/25/2000,4.11,2.7,0.36,0.01,0.22,288.8,24
"HOUSTON, TX",1/27/2000,4.21,1.35,0,0,0.01,288.8,25
"HOUSTON, TX",1/28/2000,4.26,2.01,0,0.14,0.18,288.8,26
"HOUSTON, TX",1/29/2000,4.31,2.01,0.12,0.05,0.1,288.8,27
"HOUSTON, TX",1/30/2000,4.36,2.94,0.2,0.25,0.19,288.8,28
"HOUSTON, TX",1/31/2000,4.41,2.6,0.12,0.24,0.13,288.8,29
"HOUSTON, TX",2/1/2000,4.47,2.05,0.01,0.15,0.12,288.8,30
"HOUSTON, TX",2/2/2000,4.53,1.96,0.08,0.11,0,288.8,31
"HOUSTON, TX",2/3/2000,4.59,3.41,0.25,0.29,0.22,288.8,32
"HOUSTON, TX",2/4/2000,4.65,3.52,0.45,0.2,0.05,288.8,33
"HOUSTON, TX",2/5/2000,4.71,4.22,0.62,0.24,0.05,288.8,34
"HOUSTON, TX",2/6/2000,4.77,3.73,0.37,0.28,0.13,288.8,35
"HOUSTON, TX",2/7/2000,4.83,3.19,0.17,0.24,0.22,288.8,36
"HOUSTON, TX",2/8/2000,4.9,4.43,0.59,0.22,0.15,288.8,37
"HOUSTON, TX",2/9/2000,4.96,4.08,0.43,0.26,0.16,288.8,38
"HOUSTON, TX",2/10/2000,5.02,3.37,0.09,0.24,0.38,288.8,39
"HOUSTON, TX",2/11/2000,5.09,4.08,0.41,0.24,0.17,288.8,40
